,action,reward,self.observation,self.state
97,44.0,0.803688909774436,[ 20.12   1.68  18.   131.  ],"[0.2, 0.19, 0.3485, 0.2403]"
98,60.0,1.21633008845035,[ 19.14 -13.26 141.   152.  ],"[0.2754, 0.2621, 0.2, 0.22]"
99,60.0,1.3240456697235807,[ 15.75 -27.6  403.   133.  ],"[0.3235, 0.3271, 0.21, 0.24]"
100,12.0,1.5710561848550675,[ 10.28 -40.91 361.    93.  ],"[0.3017, 0.3062, 0.28, 0.29]"
101,4.0,1.4766433747412009,[  3.17 -53.1  115.    74.  ],"[0.27, 0.27, 0.23, 0.23]"
102,62.0,0.04222789426102669,[ 14.86  30.8  185.    68.  ],"[0.19, 0.19, 0.2873, 0.3652]"
103,29.0,0.45775846434526524,[ 18.77  16.65 293.   103.  ],"[0.21, 0.2, 0.22, 0.3665]"
104,40.0,1.3341896156604038,[ 20.32   1.76 414.   109.  ],"[0.25, 0.23, 0.2886, 0.2816]"
105,0.0,1.7871071787341948,[ 19.35 -13.22  62.   133.  ],"[0.3274, 0.3184, 0.29, 0.33]"
106,0.0,1.706600156395015,[ 15.96 -27.61  20.   139.  ],"[0.34700000000000003, 0.3478, 0.23, 0.25]"
107,0.0,1.519071146245059,[ 10.49 -40.95  12.   109.  ],"[0.25, 0.22, 0.22, 0.23]"
108,0.0,1.4017857142857142,[  3.38 -53.16   0.    62.  ],"[0.21, 0.2, 0.2, 0.21]"
109,12.0,1.4440920758535287,[15.03 30.95 60.   91.  ],"[0.22, 0.21, 0.3058, 0.3049]"
110,7.0,1.317703919774509,[ 18.96  16.77  93.   114.  ],"[0.22, 0.22, 0.27, 0.3106]"
111,1.0,1.5489770006161119,[ 20.53   1.84  16.   137.  ],"[0.24, 0.22, 0.3236, 0.3317]"
112,0.0,1.5781772575250839,[ 19.57 -13.19  14.   153.  ],"[0.26, 0.23, 0.23, 0.26]"
113,0.0,1.452922077922078,[ 16.18 -27.61   0.    88.  ],"[0.22, 0.21, 0.21, 0.22]"
114,4.0,1.2574404761904763,[ 10.71 -40.99   0.    68.  ],"[0.2, 0.2, 0.2, 0.2]"
115,4.0,1.000861528822055,[15.21 31.09  0.   53.  ],"[0.2, 0.19, 0.2857, 0.2785]"
116,4.0,1.3975156052268622,[ 19.16  16.88   7.   104.  ],"[0.21, 0.2, 0.21, 0.3349]"
117,20.0,1.3599691092709527,[ 20.75   1.91  24.   136.  ],"[0.21, 0.2, 0.314, 0.3184]"
118,25.0,1.1148804745747292,[ 19.79 -13.16  31.   148.  ],"[0.226, 0.2995, 0.2, 0.2]"
119,60.0,1.2375445853225593,[ 16.41 -27.63  29.   140.  ],"[0.2881, 0.2957, 0.2, 0.21]"
120,12.0,1.5127736231018156,[ 10.93 -41.04 201.   125.  ],"[0.2937, 0.2954, 0.25, 0.26]"
121,12.0,1.3551326541815674,[  3.8 -53.3 105.   84. ],"[0.23, 0.25, 0.22, 0.22]"
122,0.0,1.4017857142857142,[19.37 16.99  0.   63.  ],"[0.21, 0.2, 0.2, 0.21]"
123,0.0,1.452922077922078,[20.97  1.98  0.   86.  ],"[0.22, 0.21, 0.21, 0.22]"
124,0.0,1.452922077922078,[ 20.02 -13.14   0.    95.  ],"[0.22, 0.21, 0.21, 0.22]"
125,0.0,1.452922077922078,[ 16.64 -27.64   0.    89.  ],"[0.22, 0.21, 0.21, 0.22]"
126,54.0,-0.0638706140350879,[ 11.15 -41.09   0.    70.  ],"[0.19, 0.19, 0.19, 0.19]"
127,0.0,1.4139610389610389,[  4.02 -53.37   0.    68.  ],"[0.22, 0.2, 0.2, 0.21]"
128,15.0,-0.06491157683493504,[ 15.59  31.39 260.    43.  ],"[0.22, 0.22, 0.3756, 0.3761]"
129,12.0,1.5811624845004397,[ 19.58  17.11 295.   111.  ],"[0.28, 0.25, 0.34, 0.3439]"
130,60.0,1.2337830664455038,[ 21.19   2.05 268.   142.  ],"[0.23, 0.21, 0.2622, 0.2661]"
131,40.0,1.3899230827403193,[ 20.26 -13.11 246.   168.  ],"[0.3549, 0.3517, 0.22, 0.24]"
132,60.0,1.2976177238935431,[ 16.87 -27.67 239.   159.  ],"[0.3069, 0.3146, 0.21, 0.23]"
133,14.0,1.379464288591501,[ 11.38 -41.14 269.   112.  ],"[0.3571, 0.3555, 0.24, 0.22]"
134,12.0,1.4663048599044766,[  4.24 -53.45 258.    72.  ],"[0.2562, 0.31, 0.24, 0.24]"
135,12.0,1.4326466064966876,[15.78 31.53 49.   67.  ],"[0.22, 0.21, 0.2966, 0.2957]"
136,8.0,1.4724750686063328,[ 19.79  17.22  82.   124.  ],"[0.24, 0.23, 0.27, 0.2969]"
137,24.0,1.2968194576426284,[ 21.42   2.12  28.   140.  ],"[0.22, 0.21, 0.308, 0.24600000000000002]"
138,40.0,1.3231391364982112,[ 20.5 -13.1  32.  153. ],"[0.3184, 0.3213, 0.21, 0.22]"
139,60.0,1.2887127973702226,[ 17.11 -27.69 145.   156.  ],"[0.3235, 0.3259, 0.2, 0.22]"
140,12.0,1.6276139848993894,[ 11.62 -41.21 369.   104.  ],"[0.3584, 0.3591, 0.28, 0.29]"
141,13.0,1.279724213921178,[  4.47 -53.54 260.    73.  ],"[0.23, 0.29, 0.23, 0.22]"
142,0.0,1.4017857142857142,[20.02 17.33  0.   67.  ],"[0.21, 0.2, 0.2, 0.21]"
143,0.0,1.452922077922078,[21.66  2.18  0.   90.  ],"[0.22, 0.21, 0.21, 0.22]"
144,0.0,1.4751552795031058,[ 20.74 -13.08   0.   100.  ],"[0.23, 0.21, 0.21, 0.23]"
145,0.0,1.4640386787125919,[ 17.35 -27.72   0.    94.  ],"[0.23, 0.21, 0.21, 0.22]"
146,0.0,1.4139610389610389,[ 11.85 -41.27   0.    74.  ],"[0.22, 0.2, 0.2, 0.21]"
147,4.0,1.000861528822055,[16.2  31.82  0.   60.  ],"[0.2, 0.19, 0.3002, 0.2658]"
148,12.0,1.3171358099335388,[ 20.24  17.44   8.   112.  ],"[0.2, 0.2, 0.21, 0.2983]"
149,60.0,1.2413986763178544,[ 21.9    2.24 141.   154.  ],"[0.22, 0.21, 0.2744, 0.2782]"
150,40.0,1.3585331344044451,[ 20.99 -13.07 298.   154.  ],"[0.3124, 0.314, 0.22, 0.25]"
151,60.0,1.2930864479944586,[ 17.6  -27.76 146.   160.  ],"[0.3278, 0.3299, 0.2, 0.22]"
152,62.0,0.3897504177109438,[ 12.09 -41.35 382.   107.  ],"[0.3594, 0.2927, 0.19, 0.19]"
153,13.0,1.3376564055548517,[  4.93 -53.73 286.    82.  ],"[0.2767, 0.3, 0.24, 0.22]"
154,12.0,0.7044825605680867,[20.48 17.55  0.   69.  ],"[0.2, 0.19, 0.19, 0.3083]"
155,53.0,1.1370506646711025,[ 22.15   2.3  153.   152.  ],"[0.22, 0.21, 0.2135, 0.318]"
156,20.0,1.3909558736999248,[ 21.24 -13.07  33.   160.  ],"[0.2961, 0.2901, 0.22, 0.24]"
157,20.0,1.3756578387619587,[ 17.85 -27.8   31.   152.  ],"[0.2822, 0.2966, 0.22, 0.23]"
158,0.0,1.5179144372112865,[ 12.34 -41.42  16.   125.  ],"[0.2297, 0.2276, 0.22, 0.24]"
159,16.0,1.2964015151515151,[  5.16 -53.84   1.    78.  ],"[0.22, 0.2, 0.2, 0.21]"
160,12.0,0.7044825605680867,[16.63 32.12  0.   64.  ],"[0.19, 0.19, 0.308, 0.247]"
